Название избирательной комиссии	Название вышестоящей комиссии	ФИО	Статус	Кем предложен
Участковая избирательная комиссия №1530	ТИК 5	Гаврилова Анна Евгеньевна	Секретарь	Местное отделение Всероссийской политической партии "ЕДИНАЯ РОССИЯ" Муниципального образования МО Правобережный
Участковая избирательная комиссия №1530	ТИК 5	Киваева Ирина Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1530	ТИК 5	Кузнецова Екатерина Юрьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1530	ТИК 5	Кузьмина Юлия Викторовна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
Участковая избирательная комиссия №1530	ТИК 5	Лапина Евгения Валерьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1530	ТИК 5	Наконечнюк Галина Николаевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1530	ТИК 5	Остафи Татьяна Викторовна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №1530	ТИК 5	Павлова Нина Ивановна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №1530	ТИК 5	Родионова Мария Сергеевна	Член	Санкт-Петербургское региональное отделение политической партии "ПАТРИОТЫ РОССИИ"
Участковая избирательная комиссия №1530	ТИК 5	Самолутченкова Валентина Николаевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1530	ТИК 5	Сухина Вера Ивановна	Член	Региональное отделение Всероссийской политической партии "Союз Труда" в Санкт-Петербурге
Участковая избирательная комиссия №1530	ТИК 5	Трофимова Ирина Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1531	ТИК 5	Кузнецов Денис Валерьевич	Председатель	Санкт-Петербургская общественная организация "Общество ветеранов Афганистана "Апрель"
Участковая избирательная комиссия №1531	ТИК 5	Кузнецова Наталья Николаевна	Зам.председателя	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №1531	ТИК 5	Ершова Елена Валерьевна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №1531	ТИК 5	Бабкин Андрей Юрьевич	Член	Региональное отделение в городе Санкт-Петербурге Политической партии "Гражданская Платформа"
Участковая избирательная комиссия №1531	ТИК 5	Бизин Алексей Сергеевич	Член	Местное отделение Всероссийской политической партии "ЕДИНАЯ РОССИЯ" Муниципального образования МО Правобережный
Участковая избирательная комиссия №1531	ТИК 5	Васильев Владимир Георгиевич	Член	Санкт-Петербургское региональное отделение политической партии "ПАТРИОТЫ РОССИИ"
Участковая избирательная комиссия №1531	ТИК 5	Васильева Мария Юрьевна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
Участковая избирательная комиссия №1531	ТИК 5	Деева Ирина Валентиновна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №1531	ТИК 5	Кузнецов Валерий Михайлович	Член	Региональное отделение Политической партии "Трудовая партия России" в Санкт-Петербурге
Участковая избирательная комиссия №1531	ТИК 5	Полковников Всеволод Сергеевич	Член	Санкт-Петербургское региональное отделение Общероссийской политической партии "Народная партия "За женщин России"
Участковая избирательная комиссия №1531	ТИК 5	Солодова Ольга Михайловна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №1531	ТИК 5	Солодова Татьяна Михайловна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1531	ТИК 5	Тюшкина Анна Владимировна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1531	ТИК 5	Цыбуля Дарья Николаевна	Член	Региональное отделение Всероссийской политической партии "Союз Труда" в Санкт-Петербурге
Участковая избирательная комиссия №1532	ТИК 5	Иванова Катерина Юрьевна	Председатель	собрание избирателей по месту жительства
Участковая избирательная комиссия №1532	ТИК 5	Пунгин Никита Петрович	Зам.председателя	собрание избирателей по месту жительства
Участковая избирательная комиссия №1532	ТИК 5	Двуреченская Ксения Андреевна	Секретарь	собрание избирателей по месту жительства
Участковая избирательная комиссия №1532	ТИК 5	Антонова Ирина Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1532	ТИК 5	Воронов Валерий Павлович	Член	Местное отделение Всероссийской политической партии "ЕДИНАЯ РОССИЯ" Муниципального образования МО Правобережный
Участковая избирательная комиссия №1532	ТИК 5	Ильина Ирина Петровна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1532	ТИК 5	Кудрявцева Татьяна Юрьевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1532	ТИК 5	Марейчев Роман Владимирович	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1532	ТИК 5	Марейчева Галина Владимировна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1532	ТИК 5	Марейчева Екатерина Юрьевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1532	ТИК 5	Меньшикова Татьяна Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1532	ТИК 5	Пунгина Светлана Игоревна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1532	ТИК 5	Саридис Христина Полихронисовна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1532	ТИК 5	Севостьянова Лилия Константиновна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1535	ТИК 5	Голосов Григорий Васильевич	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №1535	ТИК 5	Мартынова Ирина Николаевна	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №1535	ТИК 5	Мартяшина Ольга Анатольевна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №1535	ТИК 5	Бирюков Александр Анатольевич	Член	Санкт-Петербургская общественная организация "Общество ветеранов Афганистана "Апрель"
Участковая избирательная комиссия №1535	ТИК 5	Варнашева Наталья Владимировна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1535	ТИК 5	Васильева София Игоревна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1535	ТИК 5	Кириллова Анна Андреевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1535	ТИК 5	Кутепова Юлия Викторовна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №1535	ТИК 5	Малышева Татьяна Александровна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1535	ТИК 5	Михайлов Ярослав Николаевич	Член	Местное отделение Всероссийской политической партии "ЕДИНАЯ РОССИЯ" Муниципального образования МО Правобережный
Участковая избирательная комиссия №1535	ТИК 5	Остроушко Наталия Александровна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №1535	ТИК 5	Смирнова Юлия Александровна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1535	ТИК 5	Сныткина Ирина Сергеевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1535	ТИК 5	Щербина Нелля Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1536	ТИК 5	Королева Жанна Валерьевна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №1536	ТИК 5	Петрова Инна Викторовна	Зам.председателя	собрание избирателей по месту работы
Участковая избирательная комиссия №1536	ТИК 5	Кашутина Юлия Михайловна	Секретарь	Местное отделение Всероссийской политической партии "ЕДИНАЯ РОССИЯ" Муниципального образования МО Правобережный
Участковая избирательная комиссия №1536	ТИК 5	Абросимова Анна Александровна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №1536	ТИК 5	Акимова Виктория Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1536	ТИК 5	Васильева Маргарита Николаевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1536	ТИК 5	Двойников Константин Николаевич	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
Участковая избирательная комиссия №1536	ТИК 5	Кузьмина Светлана Геннадьевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1536	ТИК 5	Кукушкина Светлана Александровна	Член	Межрегиональная общественная организация родителей воинов, погибших в Республике Афганистан
Участковая избирательная комиссия №1536	ТИК 5	Кучерявая Валерия Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1536	ТИК 5	Пеньевская Ариана Риазовна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №1536	ТИК 5	Петров Сергей Александрович	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1536	ТИК 5	Соколова Евгения Александровна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №1536	ТИК 5	Чудакова Мария Николаевна	Член	собрание избирателей по месту работы
ТИК №  6	Санкт-Петербургская избирательная комиссия	Майорова Дарья Александровна	Председатель	территориальная избирательная комиссия предыдущего состава
ТИК №  6	Санкт-Петербургская избирательная комиссия	Кузьмин Константин Сергеевич	Зам.председателя	территориальная избирательная комиссия предыдущего состава
ТИК №  6	Санкт-Петербургская избирательная комиссия	Ивашкевич Марина Михайловна	Секретарь	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Андреев Александр Анатольевич	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
ТИК №  6	Санкт-Петербургская избирательная комиссия	Басенко Татьяна Михайловна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Горбунов Андрей Вениаминович	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Данилова Екатерина Алексеевна	Член	собрание избирателей по месту работы
ТИК №  6	Санкт-Петербургская избирательная комиссия	Кравцова Наталья Сергеевна	Член	представительный орган муниципального образования
ТИК №  6	Санкт-Петербургская избирательная комиссия	Матанцева Мария Владимировна	Член	Санкт-Петербургское региональное отделение Общероссийской общественной организации "Российский Красный Крест"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Панов Николай Николаевич	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
ТИК №  6	Санкт-Петербургская избирательная комиссия	Стрельников Дмитрий Александрович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Суворова Елена Александровна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
ТИК №  6	Санкт-Петербургская избирательная комиссия	Федорова Светлана Владиславовна	Член	Санкт-Петербургское региональное отделение Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Майорова Дарья Александровна	Председатель	территориальная избирательная комиссия предыдущего состава
ТИК №  6	Санкт-Петербургская избирательная комиссия	Кузьмин Константин Сергеевич	Зам.председателя	территориальная избирательная комиссия предыдущего состава
ТИК №  6	Санкт-Петербургская избирательная комиссия	Ивашкевич Марина Михайловна	Секретарь	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Андреев Александр Анатольевич	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
ТИК №  6	Санкт-Петербургская избирательная комиссия	Басенко Татьяна Михайловна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Горбунов Андрей Вениаминович	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Данилова Екатерина Алексеевна	Член	собрание избирателей по месту работы
ТИК №  6	Санкт-Петербургская избирательная комиссия	Кравцова Наталья Сергеевна	Член	представительный орган муниципального образования
ТИК №  6	Санкт-Петербургская избирательная комиссия	Матанцева Мария Владимировна	Член	Санкт-Петербургское региональное отделение Общероссийской общественной организации "Российский Красный Крест"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Панов Николай Николаевич	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
ТИК №  6	Санкт-Петербургская избирательная комиссия	Стрельников Дмитрий Александрович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
ТИК №  6	Санкт-Петербургская избирательная комиссия	Суворова Елена Александровна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
ТИК №  6	Санкт-Петербургская избирательная комиссия	Федорова Светлана Владиславовна	Член	Санкт-Петербургское региональное отделение Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №1058	ТИК 6	Кондрашкова Юлия Борисовна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №1058	ТИК 6	Платонова Юлия Анатольевна	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №1058	ТИК 6	Линц Юлия Алексеевна	Секретарь	представительный орган муниципального образования
Участковая избирательная комиссия №1058	ТИК 6	Александренкова Татьяна Владимировна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1058	ТИК 6	Гафаров Алим Гара Оглы	Член	Красносельское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №1058	ТИК 6	Иванова Нина Ивановна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1058	ТИК 6	Киселева Анна Викторовна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №1058	ТИК 6	Мялкина Анна Игоревна	Член	Санкт-Петербургская Общественная Организация в поддержку молодежи "Союз Молодежи Красносельского района Санкт-Петербурга"
Участковая избирательная комиссия №1058	ТИК 6	Мялкина Юлия Олеговна	Член	Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №1058	ТИК 6	Пуляхо Галина Валерьевна	Член	Красносельская Местная Организация Санкт-Петербургской Городской Организации Общероссийской Общественной Организации "Всероссийское Общество Инвалидов"
Участковая избирательная комиссия №1058	ТИК 6	Решетнева Анна Геннадьевна	Член	Межрегиональная общественная организация "Союз женщин Санкт-Петербурга и Ленинградской области" Союза женщин России
Участковая избирательная комиссия №1058	ТИК 6	Рябиченко Лариса Евгеньевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1059	ТИК 6	Копцева Алина Борисовна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №1059	ТИК 6	Клементьева Тамара Викторовна	Зам.председателя	Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №1059	ТИК 6	Курдыбановская Татьяна Ивановна	Секретарь	представительный орган муниципального образования
Участковая избирательная комиссия №1059	ТИК 6	Анисимова Елена Владимировна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1059	ТИК 6	Горских Виктор Николаевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1059	ТИК 6	Егорова Вера Александровна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1059	ТИК 6	Касымова Екатерина Юрьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1059	ТИК 6	Лебедев Алексей Аркадьевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1059	ТИК 6	Лебедева Татьяна Борисовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1059	ТИК 6	Нелизанова Татьяна Борисовна	Член	Красносельское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №1059	ТИК 6	Перетятько Светлана Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1059	ТИК 6	Сейтбатдалова Елена Евгеньевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №1060	ТИК 6	Седюк Надежда Николаевна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №1060	ТИК 6	Бекенева Елена Константиновна	Зам.председателя	представительный орган муниципального образования
Участковая избирательная комиссия №1060	ТИК 6	Седюк Ольга Михайловна	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №1060	ТИК 6	Григорьева Татьяна Анатольевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1060	ТИК 6	Карпенко Елена Павловна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1060	ТИК 6	Карпенко Оксана Александровна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1060	ТИК 6	Корень Ирина Юрьевна	Член	Красносельское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №1060	ТИК 6	Куляшева Валентина Юрьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1060	ТИК 6	Москаленко Яков Владимирович	Член	Красносельская Местная Организация Санкт-Петербургской Городской Организации Общероссийской Общественной Организации "Всероссийское Общество Инвалидов"
Участковая избирательная комиссия №1060	ТИК 6	Пахомова Виктория Александровна	Член	Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №1060	ТИК 6	Прохорова Лариса Алексеевна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №1060	ТИК 6	Сучкова Любовь Петровна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1061	ТИК 6	Гриценко Наталья Николаевна	Председатель	Межрегиональная общественная организация "Союз женщин Санкт-Петербурга и Ленинградской области" Союза женщин России
Участковая избирательная комиссия №1061	ТИК 6	Васильева Ольга Сергеевна	Зам.председателя	Санкт-Петербургская Общественная Организация в поддержку молодежи "Союз Молодежи Красносельского района Санкт-Петербурга"
Участковая избирательная комиссия №1061	ТИК 6	Бакулина Светлана Евгеньевна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №1061	ТИК 6	Давыдова Ирина Анатольевна	Член	Красносельское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №1061	ТИК 6	Еремук Михаил Васильевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1061	ТИК 6	Козин Алексей Александрович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №1061	ТИК 6	Мусалина Инна Геннадьевна	Член	представительный орган муниципального образования
Участковая избирательная комиссия №1061	ТИК 6	Петров Андрей Викторович	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1061	ТИК 6	Позднов Евгений Владимирович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №1061	ТИК 6	Тертель Ирина Николаевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1061	ТИК 6	Хомколов Максим Владимирович	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №1061	ТИК 6	Шестакова Марина Юрьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1062	ТИК 6	Свистунова Елена Владимировна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №1062	ТИК 6	Кузьмина Елена Александровна	Зам.председателя	Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №1062	ТИК 6	Иванова Юлия Евгеньевна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №1062	ТИК 6	Алексеенко Артем Александрович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №1062	ТИК 6	Герасимова Инна Ириковна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №1062	ТИК 6	Джафарова Екатерина Александровна	Член	Красносельское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
Участковая избирательная комиссия №1062	ТИК 6	Иванов Сергей Анатольевич	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №1062	ТИК 6	Мамаева Ольга Евгеньевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1062	ТИК 6	Репина Любовь Викторовна	Член	Межрегиональная общественная организация "Союз женщин Санкт-Петербурга и Ленинградской области" Союза женщин России
Участковая избирательная комиссия №1062	ТИК 6	Романовская Ольга Антоновна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1062	ТИК 6	Сергеева Евгения Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1062	ТИК 6	Шкитяева Марина Васильевна	Член	представительный орган муниципального образования
Участковая избирательная комиссия №1063	ТИК 6	Макарова Альвина Олеговна	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №1063	ТИК 6	Тхоржевская Светлана Владимировна	Зам.председателя	собрание избирателей по месту работы
